Prestatario,Población,Ciudad,Edad,Sexo,País de Origen,Propiedades,Fuentes de reembolso,Ingresos netos,Deudas pendientes,Contrato de trabajo,Antigüedad del trabajo (meses),Número de hijos,Número de personas a cargo,Pago en fecha
Marco Rossi,Centro,Pontevedra,39,Hombre,Italia,1,Salario,19651,0,Fijo,193,0,0,Sí
Susana Hernández,Oeste,Granada,78,Mujer,España,0,Pensión,12997,3610,Inactivo,0,1,0,Sí
Irene Jiménez,Este,Granada,23,Mujer,España,2,Salario,19100,0,Fijo,11,0,0,Sí
Héctor Sanz,Este,Granada,42,Hombre,España,2,Salario,25630,0,Fijo,219,0,0,Sí
Raquel Silva,Centro,Granada,38,Mujer,España,1,Salario,18709,0,Fijo,216,0,0,Sí
Pilar Gómez,Costa,Granada,61,Mujer,España,0,Salario,29366,3763,Fijo,211,0,2,No
Rubén Molina,Costa,Granada,25,Hombre,España,1,Salario,28056,12191,Temporal,82,0,0,Sí
Paula Jiménez,Centro,Granada,80,Mujer,España,0,Pensión,17477,2553,Inactivo,0,0,1,Sí
David Johnson,Centro,Lugo,44,Hombre,Reino Unido,0,Salario y Alquiler,33027,0,Temporal,280,0,0,Sí
Cristian Sánchez,Centro,Granada,40,Hombre,España,2,Salario,32400,11113,Fijo,240,1,0,Sí
Irene Domínguez,Norte,Granada,61,Mujer,España,2,Salario,37778,0,Temporal,13,0,0,Sí
Mario López,Este,Granada,35,Hombre,España,0,Salario,29549,1446,Fijo,121,0,0,Sí
Irene Blanco,Costa,Granada,53,Mujer,España,2,Salario,23074,0,Fijo,317,1,1,Sí
Patricia Silva,Este,Granada,44,Mujer,España,0,Salario,33154,0,Fijo,165,3,3,No
Raquel Fernández,Oeste,Granada,34,Mujer,España,0,Salario,34134,2182,Temporal,74,0,0,Sí
Eva Martínez,Costa,Granada,61,Mujer,España,0,Salario y Alquiler,20822,573,Fijo,169,2,0,Sí
Juan Rodríguez,Centro,Albacete,22,Hombre,España,1,Salario,25526,3062,Temporal,37,0,0,Sí
Santiago Martín,Este,Granada,69,Hombre,España,0,Pensión,10498,0,Inactivo,0,0,1,Sí
David Rodríguez,Centro,Granada,80,Hombre,España,0,Pensión,14955,0,Inactivo,0,4,0,Sí
Pilar Gutiérrez,Este,Granada,21,Mujer,España,0,Salario,24543,0,Fijo,15,0,0,Sí
Laura Gómez,Este,Granada,25,Mujer,España,1,Salario y Alquiler,27694,0,Temporal,50,0,0,Sí
David Blanco,Centro,Granada,55,Hombre,España,1,Salario y Alquiler,19210,3387,Fijo,310,1,1,Sí
Eduardo Navarro,Oeste,Granada,63,Hombre,España,0,Salario,24906,3810,Temporal,530,1,1,Sí
Ángel Sanz,Costa,Granada,41,Hombre,España,0,Salario,36289,0,Fijo,132,3,3,No
Patricia Pérez,Centro,Granada,55,Mujer,España,0,Salario y Alquiler,27829,0,Fijo,38,1,1,Sí
Javier Torres,Costa,Granada,42,Hombre,España,1,Salario y Alquiler,30773,0,Temporal,74,0,0,Sí
Sophie Dubois,Centro,Murcia,25,Mujer,Francia,2,Salario,31815,3419,Fijo,19,1,1,Sí
Héctor González,Norte,Granada,49,Hombre,España,2,Salario,30066,0,Fijo,362,0,0,Sí
Santiago Gutiérrez,Este,Granada,28,Hombre,España,2,Salario,30196,0,Temporal,72,0,0,Sí
María Rodríguez,Centro,Granada,71,Mujer,España,0,Pensión,10761,1492,Inactivo,0,0,2,No
Luis Vázquez,Centro,Granada,72,Hombre,España,3,Pensión,14157,0,Inactivo,0,4,0,Sí
Antonio Domínguez,Centro,Granada,40,Hombre,España,0,Salario,24898,3504,Fijo,107,0,0,Sí
Silvia Gil,Oeste,Granada,53,Mujer,España,2,Salario y Alquiler,23385,4779,Temporal,34,2,0,Sí
José Gómez,Oeste,Granada,54,Hombre,España,0,Salario y Alquiler,18260,6165,Fijo,93,2,1,Sí
Sofía Ramírez,Este,Granada,32,Mujer,España,0,Salario,16941,0,Fijo,76,0,0,Sí
